2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Veteran Incentives,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
367,UBuildIt,Construction consulting,#367 Franchise 500,"$85,700 ","$169,100 ",+34.8% +23 UNITS,+45.5% +30 UNITS,1988,1998,"3209 S. Broadway, #227 Edmond, OK 73013",10% off franchise fee,,,,Training at headquarters: 5 days
368,Billy Sims BBQ,Barbecue,#368 Franchise 500,"$169,200 ","$433,100 ",+8.5% +4 UNITS,+23.4% +11 UNITS,2004,2008,"6570-B E. 51st St. Tulsa, OK 74145",,322,368,throughout the US,Training Onsite: 1.5 weeks
369,Rocky Mountain Chocolate Factory,"Chocolates, confections",#369 Franchise 500,"$115,600 ","$499,375 ",,,1981,1982,"265 Turner Dr. Durango, CO 81303","$5,000 off franchise fee",135,369,worldwide,Training Onsite: ongoing
370,Children's Lighthouse Franchise Co.,Childcare,#370 Franchise 500,"$634,000 ","$3,998,500 ",,+2.7% +1 UNITS,1996,1999,"101 S. Jennings Ave., #306 Fort Worth, TX 76104","$25,000 off franchise fee",314,409,throughout the US,Training Onsite: 7 days
371,Tint World,"Auto accessories, audio/video, security, window tinting, appearance services",#371 Franchise 500,"$108,224 ","$199,568 ",+12.5% +5 UNITS,+30.0% +12 UNITS,1982,2007,"1000 Clint Moore Rd., #110 Boca Raton, FL 33487",10% off franchise fee,,,worldwide,Training Onsite: 4 days
372,Hospitality Int'l. Inc.,Hotels,#372 Franchise 500,"$133,600 ","$2,602,000 ",,,1971,1977,"1726 Montreal Cir., #110 Tucker, GA 30084",,147,372,,Training Onsite: Online
373,Sir Grout Franchising LLC,"Grout, tile, stone and wood restoration",#373 Franchise 500,"$94,045 ","$147,780 ",+5.3% +2 UNITS,+15.8% +6 UNITS,2004,2007,"5785 Commons Ln. Alpharetta, GA 30005","$5,000 off franchise fee",323,499,worldwide,Training at headquarters: 14 days
374,Home2 Suites by Hilton,Midprice extended-stay hotels,#374 Franchise 500,"$7,423,250 ","$13,659,750 ",+40.4% +23 UNITS,+52.6% +30 UNITS,2008,2009,"7930 Jones Branch Dr., #1100 McLean, VA 22102",,,,,Training Onsite: varies
375,Renew Crew,Environmentally friendly exterior surface cleaning and protection,#375 Franchise 500,"$45,300 ","$71,125 ",,+9.1% +3 UNITS,1993,2001,"2924 Emerywood Pkwy. Richmond, VA 23294","$2,500 off franchise fee",,,worldwide,Training Onsite: 2 days
376,Scooter's Coffee,"Specialty coffee, smoothies, pastries",#376 Franchise 500,"$270,000 ","$463,500 ",+10.5% +13 UNITS,+12.1% +15 UNITS,1998,2001,"6824 J St. Omaha, NB 68117","$20,000 credit toward first-year product",,,throughout the US,Training Onsite: 14 days
377,Pronto Insurance Franchise,Insurance,#377 Franchise 500,"$53,075 ","$89,100 ",+6.7% +9 UNITS,+10.4% +14 UNITS,1997,2009,"805 Media Luna Brownsville, TX 78520",25% off franchise fee,,,in the following regions/states;See List,Training Onsite: 5 days
378,Ziebart,Auto appearance and protection services,#378 Franchise 500,"$227,000 ","$450,000 ",+0.5% +2 UNITS,,1959,1963,"1290 E. Maple Rd. Troy, MI 48083",Franchise fee waived,153,445,,Training Onsite: 21 days
379,The Little Gym,Development/fitness programs,#379 Franchise 500,"$157,750 ","$377,000 ",+3.3% +10 UNITS,+10.6% +32 UNITS,1976,1992,"7001 N. Scottsdale Rd., #1050 Scottsdale, AZ 85253",50% off franchise fee for active-duty military,126,411,worldwide.,Training Onsite: 7 days
380,Mr. Rooter,"Plumbing, drain, and sewer cleaning",#380 Franchise 500,"$76,775 ","$180,195 ",,,1968,1972,"1010 N. University Parks Dr. Waco, TX 76707",15% off franchise fee,122,427,,Training Onsite: ongoing
381,Mr. Handyman Int'l. LLC,Home maintenance and repairs,#381 Franchise 500,"$106,500 ","$138,100 ",,,2000,2000,"3948 Ranchero Dr. Ann Arbor, MI 48108",15% offfranchise fee,106,459,,Training Onsite: 3 days
382,Twin Peaks Restaurant,Restaurants and bars,#382 Franchise 500,"$1,324,800 ","$3,351,900 ",+15.6% +10 UNITS,+28.1% +18 UNITS,2005,2007,"5151 Beltline Rd, #1200 Dallas, TX 75254",,,,throughout the US,Training Onsite: 21 days
383,Restoration 1,"Water, fire, smoke, and mold remediation",#383 Franchise 500,"$77,950 ","$175,100 ",+35.9% +14 UNITS,+48.7% +19 UNITS,2008,2009,"1512 Lake Air Dr., #116A Waco, TX 76710","$7,000 off franchise fee",346,432,worldwide,Training at headquarters: 14 days
